                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2397,                 3.5076,                  2.846,                0.30961,                0.22889,                0.20476,                0.07376,                 4.8762,                 5.9309,                 4.3804,             0.00031506,             0.00031506,             0.00031506
                     35,                 3.2201,                 3.3474,                 2.8213,                0.40195,                0.20676,                0.22726,                 0.0817,                 4.8252,                 5.8216,                  4.294,             0.00029706,             0.00029706,             0.00029706
                     36,                 3.1928,                 3.3771,                 2.7881,                0.25161,                0.29257,                0.22454,                0.08224,                 4.8425,                 5.9607,                 4.3137,             0.00027906,             0.00027906,             0.00027906
                     37,                 3.1263,                 3.1859,                 2.7602,                0.32815,                 0.2884,                0.24801,                0.09223,                 4.8219,                 5.8765,                 4.2985,             0.00026106,             0.00026106,             0.00026106
                     38,                 3.1092,                 3.1884,                 2.7522,                0.51335,                0.21315,                0.24596,                 0.0847,                 4.8816,                  6.104,                 4.3986,             0.00024307,             0.00024307,             0.00024307
                     39,                 3.0371,                 3.0761,                 2.6925,                0.31354,                0.27727,                0.23566,                0.08507,                 4.9124,                 5.8666,                 4.3666,             0.00022507,             0.00022507,             0.00022507
                     40,                 3.0145,                 2.9514,                 2.6587,                0.37604,                0.26304,                 0.2369,                0.08379,                  4.845,                 5.9701,                 4.4445,             0.00020707,             0.00020707,             0.00020707
                     41,                  2.927,                  2.576,                 2.7646,                0.31241,                0.30402,                 0.2498,                0.09007,                  4.825,                 5.8112,                  4.269,             0.00018907,             0.00018907,             0.00018907
                     42,                 2.8529,                 2.3818,                  2.726,                0.23597,                0.22941,                0.21683,                0.08101,                 4.9707,                  6.213,                 4.4153,             0.00017107,             0.00017107,             0.00017107
                     43,                 2.7836,                 2.2981,                 2.6725,                0.30072,                0.30778,                0.23672,                0.08835,                 4.9846,                  6.129,                 4.4357,             0.00015308,             0.00015308,             0.00015308
                     44,                 2.7022,                 2.2367,                 2.6289,                0.32047,                0.24947,                0.21947,                 0.0807,                 5.0001,                 6.0563,                 4.4895,             0.00013508,             0.00013508,             0.00013508
                     45,                 2.6842,                 2.1635,                 2.6349,                0.28905,                0.30051,                0.23922,                0.09517,                 5.0288,                  6.151,                 4.5057,             0.00011708,             0.00011708,             0.00011708
                     46,                 2.6035,                 2.0663,                 2.5569,                 0.4496,                0.23922,                0.25443,                  0.099,                 4.9433,                 6.0323,                 4.4736,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                 2.6175,                 2.0859,                  2.589,                0.31761,                 0.2658,                0.22877,                0.08616,                 5.0196,                 6.1443,                 4.5496,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                 2.5379,                 1.9717,                 2.5341,                0.31756,                0.27069,                 0.2376,                0.08979,                 4.9618,                 6.2236,                 4.5647,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                 2.4957,                 1.8952,                 2.5119,                0.32057,                0.25608,                0.22824,                 0.0921,                 4.9936,                 6.1896,                 4.5744,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                 2.4379,                 1.9118,                 2.4705,                0.33976,                0.27074,                0.23641,                0.09171,                 4.9756,                 6.2875,                 4.5314,             2.7088e-05,             2.7088e-05,             2.7088e-05
