                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.3721,                  3.729,                 2.9722,                0.29528,                0.26787,                0.19386,                0.07608,                    4.8,                 5.9754,                 4.4201,             0.00060303,             0.00060303,             0.00060303
                     36,                 3.3926,                 3.7671,                 2.9539,                0.25063,                0.24397,                0.19776,                0.07965,                 4.9242,                 6.0613,                 4.3838,             0.00059403,             0.00059403,             0.00059403
                     37,                 3.3158,                 3.5347,                  2.922,                0.21251,                0.23508,                 0.1887,                0.07627,                 4.8035,                 6.1733,                 4.4928,             0.00058503,             0.00058503,             0.00058503
                     38,                  3.341,                 3.5572,                  2.935,                0.30036,                0.24582,                0.21323,                0.08532,                 4.9259,                 5.9301,                 4.5311,             0.00057603,             0.00057603,             0.00057603
                     39,                 3.2627,                 3.4331,                 2.8602,                0.32342,                0.22726,                0.20584,                0.07853,                  4.827,                 6.0432,                 4.3583,             0.00056703,             0.00056703,             0.00056703
                     40,                 3.2791,                 3.3526,                 2.8651,                0.35013,                0.25959,                0.24176,                0.08524,                  4.901,                 5.7151,                 4.4911,             0.00055804,             0.00055804,             0.00055804
                     41,                 3.2622,                 3.3202,                 2.8976,                0.27021,                0.25582,                0.22142,                0.07693,                 4.8801,                 6.0449,                 4.5051,             0.00054904,             0.00054904,             0.00054904
                     42,                 3.2396,                  3.341,                 2.8553,                0.30989,                0.27908,                0.22646,                0.08783,                  4.789,                 5.9351,                  4.439,             0.00054004,             0.00054004,             0.00054004
                     43,                  3.181,                 3.2023,                 2.8266,                 0.2973,                0.22768,                0.18407,                0.07575,                 4.7548,                   6.28,                 4.3752,             0.00053104,             0.00053104,             0.00053104
                     44,                 3.2222,                 3.3147,                 2.8652,                0.28831,                0.20063,                0.20028,                0.07581,                 5.0944,                 6.1671,                 4.7358,             0.00052204,             0.00052204,             0.00052204
                     45,                 3.1346,                 3.1163,                  2.818,                0.25762,                0.20249,                0.20209,                0.08278,                 4.9429,                 6.1112,                 4.5976,             0.00051304,             0.00051304,             0.00051304
                     46,                 3.1139,                  3.065,                 2.7859,                0.43043,                0.19452,                0.21004,                0.08004,                 4.9897,                 5.9316,                 4.5252,             0.00050404,             0.00050404,             0.00050404
